stride-length 5
input google-circuit
-------------------------------
--- input-specific specs
-------------------------------
google-circuit-num-rows 6
google-circuit-num-cols 6
google-circuit-num-cycles 8
google-circuit-patterns EFGH
google-circuit-seed 15411
-------------------------------
gates  398
qubits 36
show-circuit? no
sim query-bfs
warmup 0.0000
repeat 1
quantum simulator (query-bfs)
gate 0: non-zeros: 1; slack: 0%; density: 0.00000000
gate 1: non-zeros: 2; slack: 34%; density: 0.00000000
gate 2: non-zeros: 2; slack: 60%; density: 0.00000000
gate 3: non-zeros: 2; slack: 60%; density: 0.00000000
gate 4: non-zeros: 2; slack: 60%; density: 0.00000000
gate 5: non-zeros: 2; slack: 60%; density: 0.00000000
gate 6: non-zeros: 2; slack: 60%; density: 0.00000000
gate 7: non-zeros: 2; slack: 60%; density: 0.00000000
gate 8: non-zeros: 2; slack: 60%; density: 0.00000000
gate 9: non-zeros: 2; slack: 60%; density: 0.00000000
gate 10: non-zeros: 4; slack: 20%; density: 0.00000000
gate 11: non-zeros: 4; slack: 60%; density: 0.00000000
gate 12: non-zeros: 4; slack: 60%; density: 0.00000000
gate 13: non-zeros: 4; slack: 60%; density: 0.00000000
gate 14: non-zeros: 4; slack: 60%; density: 0.00000000
gate 15: non-zeros: 4; slack: 60%; density: 0.00000000
gate 16: non-zeros: 4; slack: 60%; density: 0.00000000
gate 17: non-zeros: 4; slack: 60%; density: 0.00000000
gate 18: non-zeros: 8; slack: 20%; density: 0.00000000
gate 19: non-zeros: 8; slack: 60%; density: 0.00000000
gate 20: non-zeros: 8; slack: 60%; density: 0.00000000
gate 21: non-zeros: 8; slack: 60%; density: 0.00000000
gate 22: non-zeros: 8; slack: 60%; density: 0.00000000
gate 23: non-zeros: 8; slack: 60%; density: 0.00000000
gate 24: non-zeros: 8; slack: 60%; density: 0.00000000
gate 25: non-zeros: 8; slack: 60%; density: 0.00000000
gate 26: non-zeros: 16; slack: 20%; density: 0.00000000
gate 27: non-zeros: 16; slack: 60%; density: 0.00000000
gate 28: non-zeros: 16; slack: 60%; density: 0.00000000
gate 29: non-zeros: 16; slack: 60%; density: 0.00000000
