stride-length 5
input google-circuit
-------------------------------
--- input-specific specs
-------------------------------
google-circuit-num-rows 6
google-circuit-num-cols 6
google-circuit-num-cycles 12
google-circuit-patterns EFGH
google-circuit-seed 15210
-------------------------------
gates  597
qubits 36
show-circuit? no
sim query-bfs
warmup 0.0000
repeat 1
quantum simulator (query-bfs)
gate 98: non-zeros: 9216; slack: 80%; density: 0.00000013
gate 99: non-zeros: 9216; slack: 60%; density: 0.00000013
gate 100: non-zeros: 7680; slack: 67%; density: 0.00000011
gate 101: non-zeros: 7680; slack: 60%; density: 0.00000011
gate 102: non-zeros: 3840; slack: 80%; density: 0.00000006
gate 103: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 104: non-zeros: 1920; slack: 80%; density: 0.00000003
gate 105: non-zeros: 3840; slack: 20%; density: 0.00000006
gate 106: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 107: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 108: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 109: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 110: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 111: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 112: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 113: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 114: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 115: non-zeros: 3840; slack: 60%; density: 0.00000006
gate 116: non-zeros: 7680; slack: 20%; density: 0.00000011
gate 117: non-zeros: 9216; slack: 52%; density: 0.00000013
gate 118: non-zeros: 18432; slack: 20%; density: 0.00000027
gate 119: non-zeros: 18432; slack: 60%; density: 0.00000027
gate 120: non-zeros: 36864; slack: 20%; density: 0.00000054
gate 121: non-zeros: 73728; slack: 20%; density: 0.00000107
gate 122: non-zeros: 73728; slack: 60%; density: 0.00000107
gate 123: non-zeros: 147456; slack: 20%; density: 0.00000215
gate 124: non-zeros: 147456; slack: 60%; density: 0.00000215
gate 125: non-zeros: 147456; slack: 60%; density: 0.00000215
gate 126: non-zeros: 147456; slack: 60%; density: 0.00000215
gate 127: non-zeros: 294912; slack: 20%; density: 0.00000429
gate 128: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 129: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 130: non-zeros: 393216; slack: 47%; density: 0.00000572
